delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,middlegamma,attention,mark
347845,188719,103080,44947,156566,50699,26745,6880,77,1
279060,93882,64712,5881,6623,9416,3223,773,63,1
113269,37424,4047,1372,3997,1371,701,414,30,0
97092,288558,41602,44533,5243,9754,3162,3630,40,0
28507,19081,24653,12828,10223,6212,2281,2440,44,0
21316,23102,12942,10243,2354,8980,4464,3447,64,1
37547,39033,20829,5281,6560,11545,2420,1813,60,1
227976,47960,22706,12436,12585,7172,2055,1983,74,1
99555,25596,12298,6465,7098,5873,2787,1563,75,1
107999,40623,4246,4667,3023,2687,2382,541,61,1
349436,243046,39138,16215,17191,11657,1353,766,34,0
74911,124930,50754,31679,20671,9989,6158,3196,40,0
58766,22362,18535,8643,4724,3082,2174,505,44,0
70355,5218,368,1233,1856,1251,325,330,61,1
496860,52434,2410,20890,12820,21483,6031,569,64,1
265945,134542,1552,10613,14117,11248,1901,705,67,1
271424,80664,32205,14814,17089,9657,2108,864,57,1
94429,8859,2389,7857,15851,5820,1232,1017,77,1
144585,176994,33962,140400,47534,15888,13580,4891,57,1
67197,38481,26289,14958,18655,19521,18372,4777,70,1
48556,82048,12311,26207,12089,13272,5866,5980,75,1
147591,36067,11715,131945,20268,8379,8782,1429,56,1
640125,32289,12725,13285,13126,56574,6072,8020,81,1
657345,56494,90481,31255,15126,44780,9965,5592,78,1
104551,112265,29073,7021,13603,6721,906,779,67,1
152562,214609,43034,29929,19773,15794,2326,4755,66,1
1236855,80645,18758,12471,15346,12236,4428,988,66,1
12953,19851,9659,6571,10345,6419,4221,2075,43,0
14648,9495,3256,16792,8238,7145,3024,2172,57,1
2794627,60229,26902,7380,6282,25245,5916,1840,74,1
36753,53951,12917,16224,7007,10370,1902,2361,75,1
22193,19017,4351,15941,9172,7479,2969,1225,75,1
126107,29445,8583,4558,615,1327,1023,668,56,1
71093,40592,11122,8249,5123,6165,4403,2681,44,0
105972,14609,3310,76714,7596,8379,6700,1768,38,0
68257,81231,6256,13405,13172,7789,2213,771,44,0
1641972,102614,119693,10771,43262,19667,3541,1384,43,0
327195,167512,20908,18657,41598,15741,7378,2640,43,0
270511,71925,2526,14761,10692,4207,1308,600,38,0
126159,99501,37035,15694,14488,18878,2244,3073,41,0
625525,61648,15301,36136,19692,12755,3525,2052,44,0
504660,77886,35530,32986,21109,41738,5948,2394,56,1
169902,31007,4521,3713,6606,8434,4435,735,70,1
90097,134440,52163,38049,36747,22576,3806,1633,69,1
106311,55506,13844,10994,2241,2375,694,420,57,1
88943,241553,85790,65574,9435,5122,6406,806,30,0
439085,200358,64116,25323,2990,8429,3356,2473,30,0
1429214,211221,125417,6722,9315,6635,2139,1243,11,0
41734,147860,37321,85134,13677,7785,2357,1711,1,0
110909,49721,77033,11622,21427,11907,6419,3015,10,0
95479,37814,1689,1009,865,3083,566,496,20,0
82896,10038,682,3167,1759,1172,738,557,34,0
72150,29027,2608,9362,6581,3005,1358,1287,40,0
297366,51499,30975,18813,24493,8650,2696,1613,37,0
268037,52617,1510,5778,6305,3279,581,1189,37,0
83393,49551,6777,8728,8163,2612,755,388,30,0
107612,40083,13074,28141,7347,4345,969,557,29,0
1311404,236363,44714,63964,33611,18664,5343,5507,24,0
652244,50039,12944,10995,5309,8659,5748,2869,30,0
598997,76065,10686,8502,7117,5084,1873,350,35,0
697918,194365,19144,35129,23105,20235,4729,2018,38,0
67664,92777,60567,7838,26719,5845,2617,787,35,0
653379,60292,46071,13628,16061,5232,1097,1053,27,0
188096,114230,26980,23537,34117,22294,6653,2847,37,0
171740,93869,25186,69952,30314,15784,3258,1892,38,0
696026,158186,9053,66586,31516,14094,2011,3724,41,0
206444,26242,6391,9252,18331,1877,1253,700,43,0
341847,9847,6060,2871,5492,7237,586,187,56,1
23373,62414,17864,15774,2597,3495,1455,300,43,0
240933,84633,17493,16161,27862,22325,2933,4175,40,0
464238,128546,35558,34146,81800,27926,4359,1230,57,1
781175,171930,28044,38827,26487,32174,5714,2640,64,1
91245,85514,45292,23271,18506,19581,3158,1255,61,1
309538,50278,16520,8622,3408,4940,2852,554,57,1
529998,585273,95091,8804,75856,23313,12677,3723,37,0
107875,11380,3515,14635,7271,1171,179,359,34,0
286840,94771,40247,2401,19775,9080,3089,3144,27,0
719891,37424,35897,12911,15361,7517,2201,748,29,0
1357599,224911,82255,57131,63431,39845,32252,6654,40,0
1582036,65910,62455,69026,75629,83564,5176,2045,63,1
97848,1062,7257,4071,693,1887,755,414,38,0
374968,142761,6982,7753,8918,6973,1460,722,43,0
380285,90131,18567,30731,6159,7209,3026,871,43,0
210655,12945,5024,5459,5781,2274,548,230,44,0
1466574,386506,49531,20055,36031,27596,6133,4038,38,0
1694894,175180,64142,16768,32290,14703,3224,1808,37,0
1197383,326249,83378,31634,65106,58541,28624,8048,57,1
392439,59808,71202,25544,48850,38360,21179,2287,70,1
46724,29018,7711,1714,11848,12169,1927,539,87,1
721102,23981,9199,42746,48506,24807,19281,1928,88,1
882902,20077,18498,37679,27669,17294,10970,5857,93,1
2015345,923311,121886,36964,51347,25372,10364,18044,69,1
807685,302998,203640,249943,256691,211618,57416,29393,67,1
909232,544636,97676,256025,587399,162622,46783,20391,67,1
424050,139479,67138,79981,54925,46013,61323,21231,67,1
258219,15122,2448,2445,2192,1172,373,215,67,1
1101879,45973,40394,32358,33080,34924,36207,27990,67,1
1180768,405572,170,14779,33161,30568,15013,11686,56,1
807143,42083,8944,6321,6225,3628,1436,822,66,1
1379670,185574,40222,15379,23201,32151,19224,3737,60,1
103511,18813,2102,5577,4107,2354,513,185,56,1
749549,46440,10948,33555,7551,11210,3208,1716,56,1
1049615,350040,89617,203553,96568,195414,69067,15638,63,1
1307762,54401,13007,6335,5439,2292,570,322,63,1
1090766,89332,9118,10455,7736,2913,1320,723,38,0
341674,80878,52556,29785,11690,11024,1131,2435,23,0
587098,118119,26543,75040,18531,16971,6498,786,30,0
1081523,259536,86310,81710,58689,23011,5798,1535,29,0
122983,2884,16231,25223,5775,4734,821,182,43,0
377216,31731,20803,16338,16417,6585,2451,1120,37,0
82810,2748,2826,3674,11036,6782,1642,75,61,1
17611,47829,32334,8077,21147,13852,3594,1403,70,1
131151,84730,26774,18622,12018,23205,7546,2343,43,0
42786,11147,21479,5411,5424,1241,1547,224,44,0
1786965,84145,35962,33474,33115,14763,5259,3426,40,0
1579150,291811,34981,78573,30945,14245,6884,3060,35,0
2502127,135704,80104,35583,151775,51939,11818,4245,38,0
36213,44032,4086,7192,11216,13227,519,633,57,1
421019,275929,70571,19955,14952,10484,7554,2716,35,0
99462,11574,2554,347,513,240,125,44,17,0
49612,12049,1787,3764,2474,1581,532,556,8,0
7516,12877,16302,7498,11586,4793,2369,2345,26,0
200810,33881,35482,13679,14841,7330,2909,1581,38,0
133460,63116,8640,5098,5791,2783,2787,335,44,0
22616,50962,42487,12443,23561,12067,5605,3752,43,0
61382,84978,38030,88086,48836,19242,12402,7971,56,1
881826,29758,21918,7006,19064,12616,6561,2279,63,1
235894,4965,7217,4925,9333,1453,764,748,56,1
76267,24613,4031,22288,29709,16531,6749,2980,70,1
33224,17030,27761,8982,22830,11032,4039,1502,78,1
771644,83390,104903,43755,10360,24846,5990,4084,70,1
511269,231729,36874,32840,16309,26002,6441,1681,70,1
501115,77771,53236,36767,71194,24844,4828,2211,63,1
196127,105249,6607,16554,36084,24462,5254,10992,61,1
299610,146134,33163,14657,66539,23880,5258,3698,63,1
322284,92686,10405,33792,68767,28535,4940,2458,70,1
336870,397902,56077,69334,89032,49970,15114,3619,67,1
146856,132388,54493,19059,31017,4928,930,431,37,0
1336661,357794,33666,90790,112808,49695,17507,7939,29,0
955454,27727,5458,12069,5670,2077,660,335,23,0
592515,89555,5478,1987,6523,4241,904,688,26,0
1209980,111123,79976,44084,50347,5461,948,541,26,0
844892,105267,29313,21862,15113,5707,3077,1090,30,0
367431,128475,17214,11062,13705,8528,2512,3508,24,0
312403,72730,4303,10046,13247,13970,6280,1343,37,0
109414,47947,29592,3040,4991,5704,2357,1134,41,0
1223381,28221,20530,10085,26173,20765,3005,2122,63,1
595791,145972,27887,23016,33664,8937,4945,2795,60,1
70818,11132,9505,3926,3335,1696,2519,908,38,0
296163,128610,63226,57560,25998,9638,1457,1600,37,0
547504,79060,17722,20298,5280,4306,6962,714,30,0
60053,125613,25604,15964,19942,9357,2243,2168,26,0
3616795,82575,9304,42764,18862,12247,8004,2050,27,0
132110,6456,11334,6145,1552,4988,3413,1521,44,0
673644,100354,22685,7913,18768,26335,5819,2966,60,1
432908,292881,23324,14389,23767,24534,13524,4349,61,1
18296,79507,55597,20075,16348,13970,6170,1761,63,1
1114650,109536,60682,29366,14575,28000,2480,2209,56,1
971117,154396,39295,21549,35966,36024,7006,7544,61,1
255588,195318,47176,17747,25448,17420,4497,3248,43,0
109971,130830,22803,21988,12896,10668,3213,1344,34,0
255002,181896,21642,58917,25414,18361,10546,1624,37,0
104424,22710,18995,17772,7485,7669,1757,572,43,0
2593019,141094,30998,49109,34680,37037,29984,5346,57,1
387005,38238,15813,43644,26888,25984,12664,1578,69,1
2167831,155034,139521,148389,58562,47870,11467,5183,70,1
195780,56691,6211,20314,39469,8511,3551,1744,66,1
290079,42297,15563,7910,5906,14841,5970,2217,70,1
1241659,162449,24349,11988,26381,17702,9488,1977,61,1
3976858,388732,46230,93711,32710,102390,29043,6965,66,1
131938,28847,4302,11206,18017,7135,2390,761,69,1
1134494,35758,10010,34234,15295,6689,1314,565,61,1
243624,487796,25436,39651,39548,8528,5692,2284,30,0
169099,157069,2639,18073,7857,9586,2074,2073,21,0
569284,121478,51515,22716,20737,11369,4699,2276,17,0
26107,25153,4988,1906,1840,1684,1107,544,20,0
438117,39637,35189,8975,31059,8922,3309,2019,38,0
